p_guess,p_slip,auc,accuracy,rmse,log_loss
0.0,0.0,0.6161525015019867,0.6612012573273299,0.5678392214007164,9.928537398790365
0.0,0.049999999999999996,0.6170078135412917,0.6612012573273299,0.5453319548297436,0.988004629881632
0.0,0.09999999999999999,0.617008393172033,0.6612012573273299,0.5256495094942025,0.8283448115261876
0.0,0.15,0.6170084823459933,0.6612012573273299,0.5091212279260291,0.748492778080091
0.0,0.19999999999999998,0.6170084823459933,0.6612012573273299,0.49606499269039134,0.7025576150176246
0.0,0.24999999999999997,0.6155446917892303,0.6612012573273299,0.48676367489960365,0.6763457502580409
0.0,0.3,0.6140809012324674,0.6612012573273299,0.4814393027161443,0.663730813761988
0.0,0.35,0.6140809012324674,0.6612012573273299,0.4802295320588671,0.6616596706061317
0.049999999999999996,0.0,0.7684453364218438,0.7210942145951915,0.46225364927040474,0.9848768310643486
0.049999999999999996,0.049999999999999996,0.7870920425081567,0.7266162603007391,0.45376823262865273,0.6248066819304298
0.049999999999999996,0.09999999999999999,0.7839564631324529,0.7207543963979272,0.45138216247430324,0.6034410733125594
0.049999999999999996,0.15,0.7808273934558441,0.717780987171863,0.44999619523781575,0.5956014598394607
0.049999999999999996,0.19999999999999998,0.7754004891726761,0.7121739869169994,0.45012772083253183,0.5951552223546276
0.049999999999999996,0.24999999999999997,0.7685137477116475,0.7091156231416192,0.4521295765515826,0.6000268024100565
0.049999999999999996,0.3,0.7651603014888364,0.7071616685073485,0.45623968858209,0.6094007551132962
0.049999999999999996,0.35,0.7611060668374289,0.7046979865771812,0.462688345631918,0.6231009775776656
0.09999999999999999,0.0,0.7661177474372295,0.7193101690595531,0.44975514670636246,0.8243565052912929
0.09999999999999999,0.049999999999999996,0.7896081452446441,0.7282303967377453,0.43944325806870277,0.5805088694726459
0.09999999999999999,0.09999999999999999,0.7864915153354837,0.7266162603007391,0.43813225377147913,0.5686681329370251
0.09999999999999999,0.15,0.783746428731517,0.7215189873417721,0.4381388915048308,0.567635797081802
0.09999999999999999,0.19999999999999998,0.7805509393168822,0.7196499872568176,0.4399400878078349,0.5724526539340655
0.09999999999999999,0.24999999999999997,0.7724668442298563,0.7173562144252825,0.4437104297363142,0.5816221967049942
0.09999999999999999,0.3,0.7693787054009814,0.7154872143403279,0.449646100998283,0.5947104512950476
0.09999999999999999,0.35,0.765815343675848,0.6950981225044601,0.4578465093217876,0.6116005874708369
0.15,0.0,0.7648208459469901,0.718460623566392,0.44242580820286737,0.7424146182506149
0.15,0.049999999999999996,0.7903693936182595,0.7298445331747515,0.43179195167810835,0.5587979387345331
0.15,0.09999999999999999,0.7879580108357063,0.7278056239911648,0.431172546161241,0.5515684898997509
0.15,0.15,0.7851980321803854,0.7260215784555263,0.43211909766611434,0.5540870395045391
0.15,0.19999999999999998,0.7822871265974178,0.7221136691869849,0.43492741876994095,0.5617573563208011
0.15,0.24999999999999997,0.7751576684790382,0.7196499872568176,0.43974167045778867,0.5732731007678079
0.15,0.3,0.771749885589809,0.7068218503100842,0.4466347271136277,0.5882150407273896
0.15,0.35,0.7681105179259278,0.7010449409565882,0.4556933171497353,0.6066169009089392
0.19999999999999998,0.0,0.7639442064688694,0.717780987171863,0.4383251477380592,0.6932141822209282
0.19999999999999998,0.049999999999999996,0.7906118724783834,0.7305241695692805,0.4281733440082349,0.5481039195545307
0.19999999999999998,0.09999999999999999,0.7893353472380505,0.7282303967377453,0.42788197512543513,0.5436546114981504
0.19999999999999998,0.15,0.7858122029689698,0.7272109421459519,0.4294578781667994,0.5482659239524453
0.19999999999999998,0.19999999999999998,0.7815229800700955,0.7232180783280945,0.4329195939583601,0.5576398614214837
0.19999999999999998,0.24999999999999997,0.7763440388456038,0.7218588055390366,0.4383732164614456,0.5705453832973502
0.19999999999999998,0.3,0.773152175838684,0.7032537592388073,0.445839075859965,0.5865759951542491
0.19999999999999998,0.35,0.7691155679067436,0.7041882592812845,0.4553397658459798,0.6057338408935418
0.24999999999999997,0.0,0.7635073432378257,0.7175261235239148,0.4365987868080723,0.6609773279450185
0.24999999999999997,0.049999999999999996,0.7907336543833698,0.7299294877240676,0.4274318164705689,0.5443781951694019
0.24999999999999997,0.09999999999999999,0.789869291187104,0.7284852603856936,0.42743015840825466,0.5419351974003913
0.24999999999999997,0.15,0.7865474125462055,0.7273808512445842,0.4293922423807523,0.5478487150829702
0.24999999999999997,0.19999999999999998,0.7797156468316433,0.7234729419760428,0.4332672071736067,0.5582451061103213
0.24999999999999997,0.24999999999999997,0.7770531204524995,0.7221986237363011,0.43907962353182967,0.5719329511375174
0.24999999999999997,0.3,0.7737703891801311,0.7058023957182907,0.44682774050778845,0.5885145056818503
0.24999999999999997,0.35,0.7691538532603247,0.7040183501826522,0.4564812846833257,0.6079440535766665
0.3,0.0,0.7635073432378257,0.7175261235239148,0.43706499274250626,0.6402590707650749
0.3,0.049999999999999996,0.7908847150719568,0.7304392150199643,0.42915937874766585,0.5459231660835819
0.3,0.09999999999999999,0.7901146682009343,0.7285702149350097,0.4294100287051557,0.5449970314072888
0.3,0.15,0.7868817554476668,0.725087078413049,0.43160769720969205,0.5517584878326175
0.3,0.19999999999999998,0.7800096236537852,0.7227933055815139,0.4356979293970504,0.5627273608530976
0.3,0.24999999999999997,0.7774062790595644,0.7204145782006627,0.4416526433990094,0.5767682967436705
0.3,0.3,0.7736379063999201,0.7114093959731543,0.44943457300295137,0.5934722017526145
0.3,0.35,0.7678485842801526,0.7022343046470139,0.45898116188236954,0.6127517218284539
0.35,0.0,0.7634086871131857,0.7174411689745986,0.4398155320736994,0.6286358854617446
0.35,0.049999999999999996,0.7911187818551678,0.7303542604706482,0.4331518031576207,0.5519292738183594
0.35,0.09999999999999999,0.7903033603007279,0.7259366239062102,0.4335927587623388,0.5521500713628364
0.35,0.15,0.7866327223014682,0.7229632146801461,0.4359185560679757,0.5594593933992995
0.35,0.19999999999999998,0.7801964133757611,0.7120890323676833,0.44006380775695847,0.5706757338951075
0.35,0.24999999999999997,0.777300578192068,0.7113244414238382,0.4459691694029999,0.5847254924454037
0.35,0.3,0.7726486996593673,0.7106448050293093,0.4535606468076605,0.6011752645206926
0.35,0.35,0.7649201411516781,0.6996856681675304,0.46274042289032435,0.6198780046118761
